Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1741711717.767981,-0.506361,0.857294,0.171959,-0.2275,-0.20125,0.7000000000000001
1741711717.77049,-0.505629,0.857721,0.172813,-0.245,-0.16625,0.5162500000000001
1741711717.7729847,-0.512034,0.85827,0.167384,-0.23625,-0.28875,0.455
1741711717.775932,-0.507398,0.856074,0.17263,-0.245,-0.21,0.49875
1741711717.7791765,-0.508801,0.860161,0.170007,-0.2975,-0.21,0.5950000000000001
1741711717.7819278,-0.507764,0.856745,0.170007,-0.37625,-0.16625,0.7087500000000001
1741711717.7846277,-0.509045,0.8562569999999999,0.16897,-0.20125,-0.11375,0.55125
1741711717.7873068,-0.51057,0.857233,0.172874,-0.32375,-0.105,0.5425000000000001
1741711717.7898922,-0.511912,0.85705,0.166652,-0.25375,-0.2275,0.5775
1741711717.7924242,-0.510753,0.8559519999999999,0.167201,-0.2275,-0.1575,0.5075000000000001
1741711717.7951353,-0.508557,0.856379,0.166957,-0.245,-0.13125,0.6125
1741711717.798427,-0.50508,0.857294,0.173362,-0.34125,-0.2275,0.58625
1741711717.8016598,-0.510814,0.855281,0.1711659999999999,-0.25375,-0.1925,0.44625
1741711717.8043742,-0.505812,0.85644,0.169336,-0.11375,-0.21,0.49875
1741711717.8070836,-0.505263,0.8601,0.17263,-0.28,-0.14875,0.385
1741711717.8096836,-0.510326,0.856196,0.168909,-0.14875,-0.1925,0.5425000000000001
1741711717.81223,-0.508374,0.856074,0.169885,-0.245,-0.21,0.55125
1741711717.814748,-0.511973,0.861869,0.174704,-0.34125,-0.21875,0.6300000000000001
1741711717.8184023,-0.508374,0.860649,0.170434,-0.30625,-0.1225,0.805
1741711717.8215504,-0.509716,0.857416,0.1714709999999999,-0.3325,-0.175,0.7087500000000001
1741711717.8243215,-0.507886,0.8559519999999999,0.167994,-0.2625,-0.11375,0.63875
1741711717.8270032,-0.504531,0.8593069999999999,0.175314,-0.07875,-0.11375,0.55125
1741711717.829676,-0.505385,0.857355,0.170068,-0.16625,-0.23625,0.56
1741711717.8322344,-0.506483,0.854915,0.172935,-0.20125,-0.14875,0.7350000000000001
1741711717.8347611,-0.505568,0.85705,0.168787,-0.23625,-0.2625,0.5950000000000001
1741711717.8376205,-0.509594,0.857904,0.1717759999999999,-0.245,-0.21,0.7175
1741711717.8407145,-0.511241,0.856135,0.170007,-0.32375,-0.11375,0.60375
1741711717.8436236,-0.504104,0.854915,0.1591489999999999,-0.28,-0.105,0.5425000000000001
1741711717.8463423,-0.51423,0.856318,0.169641,-0.315,-0.175,0.5075000000000001
1741711717.849018,-0.509655,0.858026,0.169702,-0.28875,-0.09625,0.55125
1741711717.85156,-0.509106,0.855159,0.170129,-0.30625,-0.2275,0.6300000000000001
1741711717.854122,-0.509106,0.856379,0.172325,-0.2625,-0.20125,0.6300000000000001
1741711717.8567884,-0.508679,0.857965,0.173789,-0.245,-0.18375,0.6212500000000001
1741711717.86031,-0.509472,0.856074,0.170312,-0.07,-0.16625,0.665
1741711717.863468,-0.510875,0.856928,0.1708,-0.37625,-0.0875,0.4375
1741711717.8661556,-0.508374,0.859124,0.171593,-0.2275,-0.14,0.7262500000000001
1741711717.868846,-0.510326,0.856623,0.169885,-0.23625,-0.1925,0.6212500000000001
1741711717.8714488,-0.505934,0.85888,0.1729959999999999,-0.37625,-0.21875,0.6300000000000001
1741711717.8740056,-0.509289,0.857294,0.167933,-0.20125,-0.0875,0.55125
1741711717.876534,-0.509594,0.8574769999999999,0.1729959999999999,-0.30625,-0.13125,0.6562500000000001
1741711717.8800058,-0.506605,0.859368,0.171532,-0.175,-0.14,0.4375
1741711717.8834186,-0.508313,0.8565619999999999,0.170617,-0.25375,-0.16625,0.5775
1741711717.8861902,-0.505751,0.855159,0.17324,-0.20125,-0.16625,0.56
